,img,doctor,M1,M2,M3,M4,M5
0,Patient01124_Plane3_2_of_4.png,Doc_A,4,5,5,5,5
1,Patient01407_Plane3_1_of_2.png,Doc_A,4,5,5,4,5
2,Patient01470_Plane3_1_of_2.png,Doc_A,2,3,4,5,5
3,Patient00168_Plane3_3_of_3.png,Doc_A,1,3,3,4,4
4,Patient01374_Plane3_2_of_2.png,Doc_A,3,3,4,4,4
5,Patient01442_Plane3_2_of_3.png,Doc_A,4,5,5,5,5
6,Patient00829_Plane3_4_of_5.png,Doc_A,2,4,4,4,4
7,Patient00721_Plane3_3_of_3.png,Doc_A,1,3,4,4,4
8,Patient01751_Plane3_2_of_2.png,Doc_A,1,2,3,3,4
9,Patient01413_Plane3_2_of_4.png,Doc_A,3,5,4,5,5
10,Patient01610_Plane3_1_of_9.png,Doc_A,3,5,4,4,4
11,Patient01068_Plane3_3_of_5.png,Doc_A,2,4,5,4,4
12,Patient01680_Plane3_2_of_8.png,Doc_A,3,4,4,5,5
13,Patient01032_Plane3_3_of_3.png,Doc_A,1,4,5,4,5
14,Patient00759_Plane3_1_of_4.png,Doc_A,4,5,5,5,5
15,Patient00716_Plane3_6_of_6.png,Doc_A,1,3,2,2,4
16,Patient01776_Plane3_3_of_5.png,Doc_A,1,3,4,3,4
17,Patient01446_Plane3_3_of_3.png,Doc_A,1,3,4,4,4
18,Patient01102_Plane3_2_of_2.png,Doc_A,3,4,5,4,5
19,Patient01404_Plane3_2_of_2.png,Doc_A,1,3,4,5,5
20,Patient01126_Plane3_5_of_5.png,Doc_A,3,5,5,5,5
21,Patient00794_Plane3_3_of_3.png,Doc_A,1,2,3,3,4
22,Patient01063_Plane3_2_of_4.png,Doc_A,2,3,3,4,4
23,Patient01704_Plane3_2_of_2.png,Doc_A,3,5,5,4,4
24,Patient01553_Plane3_1_of_7.png,Doc_A,3,5,5,5,5
25,Patient00873_Plane3_2_of_3.png,Doc_A,1,2,3,3,3
26,Patient00752_Plane3_1_of_3.png,Doc_A,1,3,3,4,4
27,Patient00790_Plane3_2_of_5.png,Doc_A,2,3,3,4,4
28,Patient00912_Plane3_3_of_5.png,Doc_A,1,2,4,4,4
29,Patient01668_Plane3_2_of_3.png,Doc_A,4,4,4,5,5
30,Patient01680_Plane3_2_of_8.png,Doc_B,3,4,4,4,4
31,Patient00873_Plane3_2_of_3.png,Doc_B,1,4,4,4,4
32,Patient00829_Plane3_4_of_5.png,Doc_B,2,5,5,5,5
33,Patient01668_Plane3_2_of_3.png,Doc_B,5,5,5,5,5
34,Patient01404_Plane3_2_of_2.png,Doc_B,1,5,5,5,5
35,Patient01776_Plane3_3_of_5.png,Doc_B,1,4,5,3,4
36,Patient01553_Plane3_1_of_7.png,Doc_B,3,5,5,5,5
37,Patient01610_Plane3_1_of_9.png,Doc_B,3,5,5,5,5
38,Patient01407_Plane3_1_of_2.png,Doc_B,5,5,5,5,5
39,Patient01442_Plane3_2_of_3.png,Doc_B,5,5,5,5,5
40,Patient01413_Plane3_2_of_4.png,Doc_B,3,5,5,5,5
41,Patient01446_Plane3_3_of_3.png,Doc_B,1,3,4,4,4
42,Patient01470_Plane3_1_of_2.png,Doc_B,1,4,4,5,5
43,Patient01063_Plane3_2_of_4.png,Doc_B,2,4,4,4,4
44,Patient00794_Plane3_3_of_3.png,Doc_B,1,2,4,4,4
