,img,doctor,M1,M2,M3,M4,M5
0,708_HC.png,Doc_A,3,4,5,5,5
1,110_HC.png,Doc_A,1,2,2,3,3
2,089_HC.png,Doc_A,1,4,5,4,4
3,592_HC.png,Doc_A,3,5,4,4,4
4,380_HC.png,Doc_A,1,1,1,4,3
5,771_HC.png,Doc_A,3,4,4,5,5
6,519_HC.png,Doc_A,3,4,5,5,5
7,561_2HC.png,Doc_A,3,4,5,5,5
8,439_HC.png,Doc_A,5,4,4,5,5
9,493_HC.png,Doc_A,4,5,5,5,4
10,473_HC.png,Doc_A,3,5,5,4,5
11,510_HC.png,Doc_A,4,5,5,5,5
12,512_HC.png,Doc_A,3,5,5,5,5
13,193_2HC.png,Doc_A,1,2,4,5,4
14,001_HC.png,Doc_A,1,1,1,3,4
15,208_HC.png,Doc_A,3,4,5,5,4
16,178_HC.png,Doc_A,2,3,4,5,5
17,032_HC.png,Doc_A,1,2,3,4,4
18,026_2HC.png,Doc_A,1,1,1,4,4
19,160_HC.png,Doc_A,2,5,5,5,5
20,350_HC.png,Doc_A,4,5,5,5,4
21,712_2HC.png,Doc_A,3,4,5,5,4
22,058_HC.png,Doc_A,1,5,4,5,4
23,072_HC.png,Doc_A,4,4,5,5,5
24,719_HC.png,Doc_A,2,3,4,4,5
25,352_2HC.png,Doc_A,4,5,5,5,5
26,375_HC.png,Doc_A,4,4,5,5,5
27,057_HC.png,Doc_A,4,5,5,4,4
28,035_HC.png,Doc_A,1,5,5,5,5
29,357_HC.png,Doc_A,2,4,4,5,5
30,708_HC.png,Doc_B,4,5,5,5,5
31,110_HC.png,Doc_B,1,2,2,4,5
32,089_HC.png,Doc_B,1,5,5,5,5
33,592_HC.png,Doc_B,3,5,5,4,4
34,380_HC.png,Doc_B,2,2,2,4,4
35,771_HC.png,Doc_B,3,4,5,5,5
36,519_HC.png,Doc_B,3,5,5,5,5
37,561_2HC.png,Doc_B,3,5,5,5,5
38,439_HC.png,Doc_B,5,5,5,5,5
39,493_HC.png,Doc_B,4,5,5,4,5
40,473_HC.png,Doc_B,4,5,5,5,5
41,510_HC.png,Doc_B,3,4,5,5,5
42,512_HC.png,Doc_B,3,5,5,5,5
43,193_2HC.png,Doc_B,3,3,5,5,5
44,001_HC.png,Doc_B,3,2,2,5,5
45,208_HC.png,Doc_B,4,5,5,5,5
46,178_HC.png,Doc_B,3,5,5,5,5
47,032_HC.png,Doc_B,1,2,4,5,5
48,026_2HC.png,Doc_B,1,1,1,5,5
