experience,top_model,count,percentage
junior,M1,10,5.128205128205129
junior,M2,35,17.94871794871795
junior,M3,50,25.641025641025642
junior,M4,47,24.102564102564102
junior,M5,53,27.17948717948718
non-expert,M1,2,1.408450704225352
non-expert,M2,26,18.309859154929576
non-expert,M3,36,25.35211267605634
non-expert,M4,33,23.239436619718308
non-expert,M5,45,31.690140845070424
senior,M1,3,1.7647058823529411
senior,M2,27,15.882352941176471
senior,M3,41,24.11764705882353
senior,M4,44,25.88235294117647
senior,M5,55,32.35294117647059
