experience,top_model,weighted_count,percentage
junior,M1,2.7,4.5
junior,M2,8.616666666666667,14.361111111111112
junior,M3,11.116666666666667,18.52777777777778
junior,M4,16.78333333333333,27.972222222222218
junior,M5,20.78333333333333,34.638888888888886
non-expert,M1,0.6666666666666666,1.111111111111111
non-expert,M2,8.5,14.166666666666666
non-expert,M3,15.0,25.0
non-expert,M4,20.0,33.333333333333336
non-expert,M5,15.833333333333334,26.388888888888893
senior,M1,1.7333333333333334,2.888888888888889
senior,M2,9.483333333333333,15.805555555555554
senior,M3,13.15,21.916666666666668
senior,M4,18.316666666666666,30.52777777777778
senior,M5,17.316666666666666,28.86111111111111
