img,doctor,experience,top_model,weight
708_HC.png,Doc_A,senior,M3,0.3333333333333333
708_HC.png,Doc_A,senior,M4,0.3333333333333333
708_HC.png,Doc_A,senior,M5,0.3333333333333333
110_HC.png,Doc_A,senior,M4,0.5
110_HC.png,Doc_A,senior,M5,0.5
089_HC.png,Doc_A,senior,M3,1.0
592_HC.png,Doc_A,senior,M2,1.0
380_HC.png,Doc_A,senior,M4,1.0
771_HC.png,Doc_A,senior,M4,0.5
771_HC.png,Doc_A,senior,M5,0.5
519_HC.png,Doc_A,senior,M3,0.3333333333333333
519_HC.png,Doc_A,senior,M4,0.3333333333333333
519_HC.png,Doc_A,senior,M5,0.3333333333333333
561_2HC.png,Doc_A,senior,M3,0.3333333333333333
561_2HC.png,Doc_A,senior,M4,0.3333333333333333
561_2HC.png,Doc_A,senior,M5,0.3333333333333333
439_HC.png,Doc_A,senior,M1,0.3333333333333333
439_HC.png,Doc_A,senior,M4,0.3333333333333333
439_HC.png,Doc_A,senior,M5,0.3333333333333333
493_HC.png,Doc_A,senior,M2,0.3333333333333333
493_HC.png,Doc_A,senior,M3,0.3333333333333333
493_HC.png,Doc_A,senior,M4,0.3333333333333333
473_HC.png,Doc_A,senior,M2,0.3333333333333333
473_HC.png,Doc_A,senior,M3,0.3333333333333333
473_HC.png,Doc_A,senior,M5,0.3333333333333333
510_HC.png,Doc_A,senior,M2,0.25
510_HC.png,Doc_A,senior,M3,0.25
510_HC.png,Doc_A,senior,M4,0.25
510_HC.png,Doc_A,senior,M5,0.25
512_HC.png,Doc_A,senior,M2,0.25
512_HC.png,Doc_A,senior,M3,0.25
512_HC.png,Doc_A,senior,M4,0.25
512_HC.png,Doc_A,senior,M5,0.25
193_2HC.png,Doc_A,senior,M4,1.0
001_HC.png,Doc_A,senior,M5,1.0
208_HC.png,Doc_A,senior,M3,0.5
208_HC.png,Doc_A,senior,M4,0.5
178_HC.png,Doc_A,senior,M4,0.5
178_HC.png,Doc_A,senior,M5,0.5
032_HC.png,Doc_A,senior,M4,0.5
032_HC.png,Doc_A,senior,M5,0.5
026_2HC.png,Doc_A,senior,M4,0.5
026_2HC.png,Doc_A,senior,M5,0.5
160_HC.png,Doc_A,senior,M2,0.25
160_HC.png,Doc_A,senior,M3,0.25
160_HC.png,Doc_A,senior,M4,0.25
160_HC.png,Doc_A,senior,M5,0.25
350_HC.png,Doc_A,senior,M2,0.3333333333333333
350_HC.png,Doc_A,senior,M3,0.3333333333333333
350_HC.png,Doc_A,senior,M4,0.3333333333333333
712_2HC.png,Doc_A,senior,M3,0.5
712_2HC.png,Doc_A,senior,M4,0.5
058_HC.png,Doc_A,senior,M2,0.5
058_HC.png,Doc_A,senior,M4,0.5
072_HC.png,Doc_A,senior,M3,0.3333333333333333
072_HC.png,Doc_A,senior,M4,0.3333333333333333
072_HC.png,Doc_A,senior,M5,0.3333333333333333
719_HC.png,Doc_A,senior,M5,1.0
352_2HC.png,Doc_A,senior,M2,0.25
352_2HC.png,Doc_A,senior,M3,0.25
352_2HC.png,Doc_A,senior,M4,0.25
352_2HC.png,Doc_A,senior,M5,0.25
375_HC.png,Doc_A,senior,M3,0.3333333333333333
375_HC.png,Doc_A,senior,M4,0.3333333333333333
375_HC.png,Doc_A,senior,M5,0.3333333333333333
057_HC.png,Doc_A,senior,M2,0.5
057_HC.png,Doc_A,senior,M3,0.5
035_HC.png,Doc_A,senior,M2,0.25
035_HC.png,Doc_A,senior,M3,0.25
035_HC.png,Doc_A,senior,M4,0.25
