experience,top_model,count,percentage
junior,M1,8,4.678362573099415
junior,M2,29,16.95906432748538
junior,M3,37,21.637426900584796
junior,M4,46,26.900584795321638
junior,M5,51,29.82456140350877
non-expert,M1,2,1.2658227848101267
non-expert,M2,27,17.088607594936708
non-expert,M3,40,25.31645569620253
non-expert,M4,47,29.746835443037973
non-expert,M5,42,26.582278481012658
senior,M1,4,2.3121387283236996
senior,M2,31,17.91907514450867
senior,M3,41,23.69942196531792
senior,M4,50,28.90173410404624
senior,M5,47,27.167630057803468
